,Id,SalePrice
0,1461,113366.27495841678
1,1462,171977.96455487245
2,1463,182227.63533123615
3,1464,205191.91725366635
4,1465,224898.2232001578
5,1466,166675.14760902614
6,1467,184594.38227173223
7,1468,175794.67664690458
8,1469,213154.13657374753
9,1470,108375.28764676311
10,1471,196335.33777865767
11,1472,93146.39299097593
12,1473,83464.91255955507
13,1474,141463.4005293233
14,1475,87665.53644775061
15,1476,353629.37007038714
16,1477,288653.4027253189
17,1478,292431.54773102055
18,1479,296006.5430234532
19,1480,370547.9386482626
20,1481,374067.07018781354
21,1482,233859.54041458693
22,1483,168755.33351901243
23,1484,149839.4591184401
24,1485,216317.25934106967
25,1486,208985.39894479053
26,1487,341749.695177597
27,1488,243165.81219617772
28,1489,210735.78895402068
29,1490,242480.08776674175
30,1491,194970.95630571566
31,1492,88890.12352174046
32,1493,240037.39612349652
33,1494,308222.6600728852
34,1495,316912.9206116927
35,1496,241366.6309924281
36,1497,162380.3283962771
37,1498,187553.71347544366
38,1499,161633.20252754417
39,1500,147532.9740629253
40,1501,172270.21598701066
41,1502,161672.92865052624
42,1503,282161.3190096894
43,1504,243755.13162415504
44,1505,241268.92298192478
45,1506,199600.2849438383
46,1507,230528.3156672761
47,1508,201497.9325652882
48,1509,173087.52744539842
49,1510,155393.41163940367
50,1511,163582.62887412618
51,1512,183118.9301396007
52,1513,155865.2046692044
53,1514,205521.91296544473
54,1515,207962.57601604736
55,1516,173518.3871185974
56,1517,184680.7482387914
57,1518,115073.95120591416
58,1519,219372.9441478028
59,1520,130449.79597510533
60,1521,133255.0367220697
61,1522,201997.30778897903
62,1523,81347.86711408758
63,1524,115815.9003865607
64,1525,117464.61102604597
65,1526,113185.2540528919
66,1527,104597.08679890323
67,1528,130812.45557442006
68,1529,139723.61491041258
69,1530,197500.88255034323
70,1531,116283.92454752864
71,1532,100055.1597673446
72,1533,137220.0726516149
73,1534,126306.11147557352
74,1535,153342.28228969366
75,1536,109418.18097128028
76,1537,76738.13068954942
77,1538,173610.7127551615
78,1539,207006.55745427863
79,1540,107915.70334651675
80,1541,147024.12583184076
81,1542,141740.2728425422
82,1543,195630.9064216034
83,1544,88805.53017958492
84,1545,135203.5803564772
85,1546,169364.97547558908
86,1547,136568.79912855258
87,1548,141278.20642158654
88,1549,126492.71875849574
89,1550,155818.60011829852
90,1551,130359.59558306991
91,1552,115607.72268749453
92,1553,137025.7538278553
93,1554,103868.42412432065
94,1555,187117.06182106707
95,1556,93898.38958104377
96,1557,133457.5604756844
97,1558,103785.59068324372
98,1559,99356.58354933168
99,1560,138441.8710778198
100,1561,143997.42384677436
101,1562,117903.15524611666
102,1563,110063.50033752152
103,1564,153705.2284522921
104,1565,150783.84036421627
105,1566,239511.70765768885
106,1567,71368.93486054301
107,1568,240974.20591265493
108,1569,117161.36929931157
109,1570,149523.88290705008
110,1571,122751.64061352971
111,1572,150982.59981523402
112,1573,274286.01416481915
113,1574,154221.45913212153
114,1575,239053.63459142344
115,1576,233918.7544933805
116,1577,178068.71849211544
117,1578,156593.44204243878
118,1579,145396.63506609006
119,1580,205174.2010546178
120,1581,146833.87646199227
121,1582,127686.68114627634
122,1583,300385.87984968885
123,1584,212422.01572434377
124,1585,130175.09216118304
125,1586,66053.14743967139
126,1587,127066.80006674632
127,1588,181734.04314267894
128,1589,103721.26317870819
129,1590,142236.6169278475
130,1591,69429.76881372322
131,1592,134697.80267487044
132,1593,139413.15947883524
133,1594,100629.18567785255
134,1595,114245.99104287436
135,1596,227578.38877035395
136,1597,184282.75292324804
137,1598,235547.62725344632
138,1599,176228.88276362052
139,1600,154966.52975122287
140,1601,57997.25211883044
141,1602,115959.92354138358
142,1603,88831.3742408271
143,1604,262389.081322401
144,1605,247534.31699598022
145,1606,191218.60561543354
146,1607,206890.75219764153
147,1608,210738.8938983218
148,1609,195448.58366778542
149,1610,169136.14439775315
